northern_virginia,sao_paulo,frankfurt,seoul,sidney,media,minimo
143,209,112,127,210,160.2,112.0
123,210,121,200,212,173.2,121.0
117,175,85,192,209,155.6,85.0
61,113,80,135,134,104.6,61.0
64,199,2153,1186,698,860.0,64.0
114,165,78,190,210,151.4,78.0
52,104,78,125,132,98.2,52.0
800,1069,990,1249,1140,1049.6,800.0
154,220,125,224,266,197.8,125.0
112,172,81,187,216,153.6,81.0
51,108,83,131,129,100.4,51.0
49,111,77,126,142,101.0,49.0
156,220,122,128,219,169.0,122.0
127,187,94,199,218,165.0,94.0
49,111,80,117,131,97.6,49.0
59,109,91,145,685,217.8,59.0
54,97,90,138,144,104.6,54.0
51,116,83,129,142,104.2,51.0
106,187,77,187,216,154.6,77.0
159,271,177,186,265,211.6,159.0
533,902,1081,1619,1479,1122.8,533.0
72,155,116,153,185,136.2,72.0
71,111,85,144,172,116.6,71.0
88,164,95,152,183,136.4,88.0
49,115,82,127,146,103.8,49.0
144,1659,136,227,256,484.4,136.0
44,101,80,130,137,98.4,44.0
113,176,78,190,212,153.8,78.0
113,177,81,186,207,152.8,81.0
2449,2827,1299,1309,1306,1838.0,1299.0
58,104,95,138,147,108.4,58.0
126,157,124,189,188,156.8,124.0
121,192,150,196,243,180.4,121.0
136,210,188,1584,266,476.8,136.0
46,92,83,113,143,95.4,46.0
95,147,116,145,27854,5671.4,95.0
272,327,276,1251,264,478.0,264.0
106,1190,113,1237,1411,811.4,106.0
583,1348,1328,1423,1582,1252.8,583.0
95,139,129,152,202,143.4,95.0
165,224,146,213,259,201.4,146.0
186,466,309,299,1265,505.0,186.0
57,119,79,128,144,105.4,57.0
101,162,120,174,187,148.8,101.0
39,96,73,118,133,91.8,39.0
115,184,134,157,183,154.6,115.0
146,216,122,220,251,191.0,122.0
96,661,355,1997,410,703.8,96.0
113,163,108,167,195,149.2,108.0
65,115,96,144,167,117.4,65.0
100,184,80,191,212,153.4,80.0
143,211,122,204,262,188.4,122.0
