northern_virginia,sao_paulo,frankfurt,seoul,sidney
143,209,112,127,210
123,210,121,200,212
117,175,85,192,209
61,113,80,135,134
64,199,2153,1186,698
114,165,78,190,210
52,104,78,125,132
800,1069,990,1249,1140
154,220,125,224,266
112,172,81,187,216
51,108,83,131,129
49,111,77,126,142
156,220,122,128,219
127,187,94,199,218
49,111,80,117,131
59,109,91,145,685
54,97,90,138,144
51,116,83,129,142
106,187,77,187,216
159,271,177,186,265
533,902,1081,1619,1479
72,155,116,153,185
71,111,85,144,172
88,164,95,152,183
49,115,82,127,146
144,1659,136,227,256
44,101,80,130,137
113,176,78,190,212
113,177,81,186,207
2449,2827,1299,1309,1306
58,104,95,138,147
126,157,124,189,188
121,192,150,196,243
136,210,188,1584,266
46,92,83,113,143
95,147,116,145,27854
272,327,276,1251,264
106,1190,113,1237,1411
583,1348,1328,1423,1582
95,139,129,152,202
165,224,146,213,259
186,466,309,299,1265
57,119,79,128,144
101,162,120,174,187
39,96,73,118,133
115,184,134,157,183
146,216,122,220,251
96,661,355,1997,410
113,163,108,167,195
65,115,96,144,167
100,184,80,191,212
143,211,122,204,262
115,171,84,183,229
109,165,127,173,176
2634,144,115,164,183
50,96,79,121,144
109,166,79,182,215
1005,1776,1419,1375,1446
756,130,129,144,177
103,146,98,156,187
258,952,912,904,1587
70,102,78,135,153
44,103,78,132,142
48,423,289,380,184
94,146,121,156,192
943,1853,1406,1572,1717
102,157,72,181,186
154,219,124,234,257
111,170,255,240,227
42,95,79,128,133
76,110,86,134,165
56,110,82,136,147
850,1532,1330,1672,1464
164,213,173,827,1661
362,243,162,226,273
423,385,539,299,511
153,350,135,193,298
103,408,200,435,228
97,144,125,161,177
117,149,100,182,187
100,140,112,170,172
97,141,79,129,170
94,137,94,128,174
107,169,106,134,226
110,183,94,199,222
210,279,186,256,310
218,286,199,241,314
199,264,169,2122,197
132,164,108,162,205
111,175,83,150,217
286,332,256,288,338
120,179,98,116,190
104,150,128,110,186
155,192,165,123,201
76,130,90,153,165
118,139,89,147,180
104,171,79,161,213
119,187,117,151,526
97,172,74,110,184
99,168,85,185,211
167,194,136,213,239
141,202,116,222,250
131,196,127,209,234
146,210,119,207,229
299,340,271,202,266
151,199,121,201,228
399,458,378,423,487
133,187,106,111,184
98,160,113,131,188
150,211,175,190,232
64625,108,90,133,145
129,171,121,188,202
372,1126,1007,799,988
147,214,140,131,205
136,214,144,225,246
137,173,129,189,201
179,217,187,135,211
142,182,142,114,193
814,769,1155,543,870
75,104,78,137,147
127,222,115,178,228
224,308,200,259,311
2007,1511,1151,1003,1408
71,124,86,142,147
156,236,128,231,258
152,219,141,116,190
166,254,140,245,286
284,146,19197,154,1605
112,181,87,156,204
264,346,238,223,297
110,215,87,210,218
141,186,114,149,215
64,105,78,130,135
202,475,364,468,358
104,150,101,138,160
161,238,131,249,265
86,125,95,127,159
157,213,190,123,205
92,140,150,109,170
111,150,111,137,184
120,165,118,166,188
158,222,136,110,183
755,869,540,771,776
105,159,113,117,176
1850,494,19079,172,541
162,216,133,122,205
116,202,87,144,195
103,152,120,163,177
164,173,169,185,270
69,97,66,117,126
110,136,107,110,179
149,3855,168,155,204
99,148,355,139,155
94,120,98,110,160
157,179,137,195,202
956,1032,1194,913,838
74,109,81,125,136
196,270,178,217,298
126,149,107,139,179
149,7402,138,161,240
138,174,163,140,217
568,193,136,142,216
63,90,69,123,131
85,141,116,110,164
109,161,123,163,186
101482,209,131,125,199
83,137,108,139,172
117,149,106,7885,198
121,188,103,192,230
93,168,121,174,193
101,170,126,180,198
66,125,109,135,157
129,176,107,136,210
667,443,306,151,207
331,391,302,279,327
113,170,130,138,199
69,121,74,139,143
108,150,114,169,190
179,226,138,175,199
221,302,249,192,251
133,158,87,186,199
128,153,117,126,194
143,146,132,152,189
166,164,303,255,267
142,162,123,155,209
122,174,89,204,216
105,161,85,136,204
210,273,182,270,312
108,153,81,173,202
65,91,68,126,140
83,116,83,129,153
123,164,94,193,210
112,155,79,137,198
126,144,127,147,186
116,164,105,137,206
101,132,115,141,167
1954096,852336,1951214,1950855,1950818
454025,495,125,450794,175
115,186,84,181,206
102,109,66,126,145
109,136,118,151,177
109,136,83,147,156
444,172,713,792,453
127,181,95,187,232
100,133,116,169,180
122,163,89,144,204
186,207,187,228,241
111,172,77,150,205
154,160,134,178,199
274,311,273,166,243
143,161,146,144,204
168,226,141,132,210
389,389,172,243,289
591,255,232,1114,915
719,885,983,1136,546
136,199,123,144,221
92,147,131,178,185
148,160,139,195,199
102,133,116,149,172
120,188,102,200,224
124,171,86,155,212
88,142,111,164,178
124,181,96,147,208
80,102,79,126,143
195,257,159,307,300
149,128,118,162,167
150,218,134,225,253
118,138,102,131,174
66,101,71,211,287
248,269,243,119,201
115,168,84,108,185
106,143,127,159,186
157,223,135,238,286
102,144,98,166,180
146,208,119,170,204
177,229,149,160,204
117,166,151,199,213
161,220,139,123,208
101,141,114,165,186
117,185,92,168,215
144,190,151,153,200
91,102,84,137,136
127,183,133,192,225
207,268,224,114,180
168,229,146,139,216
78,124,81,141,158
4632,262,29077,114,188
151,215,133,153,225
716,722,858,358,569
124,188,97,186,229
144,320,123,211,256
187,229,160,182,229
242,219,133,225,275
134,189,97,194,237
144,2815,118,176,190
366,418,467,284,560
156,216,211,225,234
272,327,231,218,302
619,679,232,367,284
