northern_virginia,sao_paulo,frankfurt,seoul,sidney
238,306,209,312,347
276,373,249,355,380
110,161,99,178,187
170,208,173,239,248
200,275,181,275,311
204,266,223,270,283
145,190,164,217,226
367,439,337,440,470
127,158,145,196,195
184,254,149,265,293
253,314,215,297,333
349956,165,161,217,221
141,183,121,206,209
598,664,561,580,689
444,502,408,523,813
106,165,136,179,191
594,652,568,650,682
135,231,148,206,231
158,242,127,211,262
163,181,147,175,229
190,223,178,221,250
202,239,223,260,278
1687,1719,1700,1718,1768
183,300,178,257,278
238,283,7760,300,318
233,277,217,276,290
439,1093,1084,951,1120
212,261,206,243,280
187,216,163,208,262
213,257,191,225,290
217,269,209,244,288
241,309,203,295,348
481,577,442,498,579
217,260,245,283,288
206,268,168,235,288
138,176,107,185,205
261,449,287,304,464
183,222,218,253,259
214,278,171,273,299
153,196,180,145,223
177,211,198,238,268
172,269,155,280,287
216,282,195,280,325
229,302,217,301,338
171,231,144,203,268
576,697,704,263,1362
86,128,116,167,174
117,175,119,153,205
236,272,241,287,303
186,232,205,260,261
246,315,209,316,346
202,250,233,276,291
171,229,195,251,271
258,298,278,307,332
191,239,189,245,271
151,222,125,226,260
573,1112,1302,1407,1189
213,282,186,295,324
187,258,171,278,306
365,412,374,405,433
196,238,215,260,269
319,380,351,401,449
154,189,167,211,222
303,346,321,372,380
165,211,162,223,233
228,269,216,281,288
179,252,149,160,236
147,198,151,204,231
205,501,179,292,311
293,323,312,354,368
212,279,192,285,306
215,284,188,291,320
215,274,196,286,307
3731,313,225,287,345
220,288,199,227,302
217,287,188,231,301
121,194,96,128,204
181,255,159,242,292
140,196,164,210,212
151,217,171,212,227
303,362,278,285,331
210,266,188,287,308
229,299,202,253,335
363,598,540,621,692
675,1391,1812,374,727
301,361,272,215,293
167,233,140,235,259
264,293,214,322,341
123,159,105,166,202
224,296,227,250,330
182,263,157,258,281
164,223,135,236,268
206,273,345,283,314
2351,294,231,290,320
251,281,903,493,517
1075,292,226,242,282
212,265,186,245,269
341,396,306,406,436
90,160,128,160,191
194,227,186,252,245
395,243,217,243,713
149,200,179,234,238
171,232,152,248,272
247,279,265,282,323
308,313,295,322,359
297,358,319,386,398
130,406,554,379,487
340,358,311,308,382
135,168,148,175,204
208,233,219,252,277
1071,392,347,386,429
349,353,324,366,395
